iter	Passed	Remaining
630	43117	25214
631	43210	25160
632	43277	25091
633	43368	25035
634	43428	24963
635	43486	24888
636	43546	24815
637	43612	24745
638	43670	24671
639	43743	24605
640	43817	24540
641	43918	24490
642	44016	24438
643	44093	24374
644	44161	24305
645	44242	24244
646	44327	24184
647	44396	24116
648	44474	24053
649	44538	23982
650	44603	23911
651	44666	23840
652	44730	23769
653	44803	23703
654	44872	23635
655	44942	23567
656	45014	23500
657	45087	23434
658	45157	23366
659	45231	23301
660	45287	23226
661	45345	23152
662	45430	23092
663	45492	23020
664	45561	22951
665	45633	22885
666	45693	22812
667	45754	22740
668	45825	22672
669	45919	22617
670	46001	22555
671	46088	22495
672	46165	22430
673	46235	22363
674	46303	22294
675	46381	22230
676	46445	22159
677	46524	22095
678	46605	22033
679	46691	21972
680	46766	21906
681	46834	21837
682	46897	21766
683	46963	21696
684	47019	21622
685	47081	21550
686	47140	21477
687	47201	21405
688	47265	21334
689	47327	21263
690	47392	21192
691	47456	21122
692	47515	21049
693	47585	20981
694	47652	20912
695	47717	20842
696	47775	20769
697	47855	20705
698	47931	20639
699	47979	20562
700	48046	20493
701	48108	20422
702	48185	20357
703	48265	20293
704	48330	20223
705	48399	20155
706	48474	20089
707	48548	20022
708	48621	19956
709	48708	19894
710	48786	19830
711	48854	19761
712	48939	19699
713	49003	19629
714	49063	19556
715	49114	19481
716	49175	19409
717	49245	19341
718	49317	19274
719	49387	19206
720	49456	19137
721	49521	19067
722	49585	18997
723	49648	18926
724	49716	18857
725	49773	18784
726	49841	18716
727	49928	18654
728	50004	18588
729	50072	18519
730	50137	18450
731	50197	18378
732	50262	18308
733	50326	18238
734	50387	18166
735	50453	18097
736	50525	18030
737	50590	17960
738	50653	17889
739	50720	17820
740	50782	17749
741	50880	17691
742	50947	17622
743	51019	17554
744	51069	17480
745	51138	17411
746	51202	17341
747	51266	17271
748	51333	17202
749	51406	17135
750	51478	17067
751	51567	17006
752	51653	16943
753	51776	16892
754	51858	16828
755	51929	16760
756	52005	16694
757	52075	16625
758	52157	16561
759	52241	16497
760	52302	16426
761	52382	16360
762	52442	16289
763	52503	16218
764	52562	16146
765	52625	16076
766	52704	16010
767	52779	15943
768	52850	15875
769	52913	15805
770	52995	15740
771	53064	15671
772	53128	15601
773	53190	15531
774	53246	15458
775	53320	15391
776	53373	15318
777	53439	15248
778	53512	15181
779	53580	15112
780	53648	15043
781	53720	14975
782	53791	14907
783	53848	14835
784	53910	14765
785	53976	14695
786	54038	14625
787	54108	14557
788	54172	14487
789	54240	14418
790	54308	14349
791	54381	14281
792	54441	14211
793	54511	14142
794	54572	14072
795	54638	14002
796	54720	13937
797	54778	13866
798	54836	13794
799	54890	13722
800	54947	13651
801	55012	13581
802	55069	13510
803	55127	13439
804	55196	13370
805	55259	13300
806	55329	13232
807	55404	13165
808	55464	13094
809	55524	13024
810	55587	12954
811	55652	12885
812	55712	12814
813	55776	12745
814	55839	12675
815	55899	12604
816	55961	12534
